,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Tommy,Dean,Noura,Lauren,Janet,Dan,Elaine,Karishma,Elizabeth,Missy,Aaron,Jamal,Kellee,Jack,Jason,Tom,Chelsea,Vince,Molly,Ronnie,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Ronnie,7-2,-,Ronnie,-,-,-,-,Ronnie,Ronnie,None,Ronnie,Vince,-,-,-,-,Ronnie,Ronnie,Ronnie,-,Vince,[],False,{},False,{},True,0,False,False,,1,"""I Vote You Out and That's It""","September 25, 2019",Vokai,Vokai,Elizabeth,"['Ronnie', '7-2']",1st Voted OutDay 3,6.29,1.3/6,Ronnie,['Vokai'],0.5
1,2,Original Tribes,2,Molly,7-2-1,Molly,-,Molly,Molly,Molly,Molly,-,-,-,-,-,Jason,Molly,Jason,Molly,-,-,-,Noura,,[],False,{},False,{},True,0,False,False,,2,"""YOLO, Let's Play!""","October 2, 2019",Lairo,Lairo,Kellee,"['Molly', '7-2-1']",2nd Voted OutDay 6,6.57,1.2/6,Molly,['Lairo'],0.5
2,3,Original Tribes,3,Vince,5-3-1,-,Karishma,-,-,-,-,Vince,Vince,Vince,Vince,Karishma,-,-,-,-,Karishma,Vince,Tom,,,[],False,{},False,{},True,0,False,False,,3,"""Honesty Would Be Chill""","October 9, 2019",Vokai,Vokai,Vince,"['Vince', '5-3-1']",3rd Voted OutDay 8,6.51,1.2/6,Vince,['Vokai'],0.5
3,4,Original Tribes,4,Chelsea,6-2,-,Karishma,-,-,-,-,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,-,-,-,-,Chelsea,Karishma,,,,[],False,{},False,{},True,0,False,False,,4,"""Plan Z""","October 16, 2019",Vokai,Vokai,Noura,"['Chelsea', '6-2']",4th Voted OutDay 11,6.91,1.4/7,Chelsea,['Vokai'],0.5
4,5,Switched Tribes,5,Tom,5-2,-,Karishma,None,-,Tom,-,-,Tom,-,-,-,Tom,Tom,Tom,-,Karishma,,,,,[],False,{},False,{},True,1,False,False,,5,"""Don't Bite the Hand That Feeds You""","October 23, 2019",Vokai,Vokai,None,"['Tom', '5-2']",5th Voted OutDay 14,6.82,1.3/6,Tom,['Vokai'],0.5
5,6,Switched Tribes,6,Jason,4-3,Elaine,-,-,Elaine,-,Elaine,Jason,-,Jason,Jason,Jason,-,-,-,None,,,,,,[],False,{},False,{},True,1,False,False,,6,"""Suck It Up Buttercup""","October 30, 2019",Vokai,Lairo,Elaine,"['Jason', '4-3']",6th Voted OutDay 16,6.37,1.2/6,Jason,['Lairo'],0.5
6,7,Switched Tribes,7,Jack,2-0,-,Jack,Jack,-,Dean,-,-,Dean,-,-,-,Dean,Dean,Dean,,,,,,,[],False,{},False,{},True,1,False,False,,7,"""I Was Born at Night, but Not Last Night""","November 6, 2019",Vokai,Vokai,Janet,"['Jack', '2-0']",7th Voted Out1st Jury MemberDay 19,6.82,1.3/6,Jack,['Vokai'],0.5
7,8,Merged Tribe,8,Kellee,8-5,Kellee,Kellee,Dan,Kellee,Dan,Kellee,Kellee,Dan,Kellee,Kellee,Kellee,Dan,Dan,,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""We Made It to the Merge!""","November 13, 2019",None,Aaron,None,"['Kellee', '8-5']",8th Voted Out2nd Jury MemberDay 22,6.07,1.1/6,Kellee,['Aaron'],0.07692307692307693
8,9,Merged Tribe,8,Jamal,6-3-0,Jamal,Jamal,Jamal,Karishma,Jamal,Jamal,Karishma,Janet,Karishma,Janet,Jamal,None,,,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""We Made It to the Merge!""","November 13, 2019","Dan, Dean,Elaine,Elizabeth,Noura,Tommy","['Aaron', 'Missy']",Jamal,"['Jamal', '6-3-0']",9th Voted Out3rd Jury MemberDay 24,6.07,1.1/6,Jamal,"['Aaron', 'Missy']",0.16666666666666666
9,10,Merged Tribe,9,Aaron,5-1,-,Aaron,Aaron,Aaron,Aaron,Aaron,-,-,-,-,Janet,,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""Two for the Price of One""","November 20, 2019",,Noura,None,"['Aaron', '5-1']",10th Voted Out4th Jury MemberDay 27,6.63,1.2/6,Aaron,['Noura'],0.09090909090909091
10,11,Merged Tribe,9,Missy,3-2,Missy,-,-,-,-,-,Missy,Missy,Tommy,Tommy,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""Two for the Price of One""","November 20, 2019","['Elaine', 'Elizabeth,Karishma,Missy,Tommy']","['Elaine', '']",None,"['Missy', '3-2']",11th Voted Out5th Jury MemberDay 27,6.63,1.2/6,Missy,['Elaine'],0.1
11,12,Merged Tribe,10,Elizabeth,1-1-0,Karishma,Karishma,Karishma,Karishma,Karishma,Elizabeth,Karishma,Janet,Karishma,,,,,,,,,,,,[],True,"{'Tommy': 'Karishma', 'Dean': 'Karishma', 'Noura': 'Karishma', 'Lauren': 'Karishma', 'Janet': 'Karishma', 'Dan': 'Elizabeth', 'Elaine': 'Karishma', 'Karishma': 'Janet', 'Elizabeth': 'Karishma'}",False,{},True,2,True,False,,10,"""Bring On the Bacon""","November 27, 2019",None,Noura,Lauren,"['Elizabeth', '1-1-0;7-0']",12th Voted Out6th Jury MemberDay 30,6.48,1.1/6,Elizabeth,['Noura'],0.1111111111111111
12,13,Merged Tribe,11,Karishma,5-3,Karishma,Karishma,Karishma,Karishma,Noura,Noura,Karishma,Noura,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,11,"""A Very Simple Plan""","December 4, 2019","Janet,Tommy[Dan,Lauren]",Lauren,None,"['Karishma', '5-3']",13th Voted Out7th Jury MemberDay 32,6.86,1.2/6,Karishma,['Lauren'],0.125
13,14,Merged Tribe,12,Elaine,5-2,Elaine,Elaine,Elaine,Elaine,Elaine,Noura,Noura,,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,12,"""Just Go for It""","December 11, 2019","Tommy[Dean,Noura]",Dean,Dean,"['Elaine', '5-2']",14th Voted Out8th Jury MemberDay 35,6.82,1.2/7,Elaine,['Dean'],0.14285714285714285
14,15,Merged Tribe,12,Dan,No Vote,-,-,-,-,-,Ejected,,,,,,,,,,,,,,,[],False,{},False,{},False,2,True,False,,12,"""Just Go for It""","December 11, 2019","Tommy[Dean,Noura]",Dean,Dean,"['Dan', 'No Vote']",EjectedDay 36,6.82,1.2/7,Dan,['Dean'],0.16666666666666666
15,16,Merged Tribe,13,Janet,4-1,Janet,Janet,Janet,Janet,Lauren,,,,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,13,"""Mama, Look at Me Now""","December 18, 2019","['Dean', '[Noura]']","['Dean', '']",None,"['Janet', '4-1']",15th Voted Out9th Jury MemberDay 37,6.52,1.2/6,Janet,['Dean'],0.2
16,17,Merged Tribe,13,Lauren,No Vote,-,-,-,,,,,,,,,,,,,,,,,,['Lauren'],False,{},False,{},False,2,True,False,,13,"""Mama, Look at Me Now""","December 18, 2019",None,Noura,None,"['Lauren', 'No Vote']",Eliminated10th Jury MemberDay 38,6.52,1.2/6,Lauren,['Noura'],0.3333333333333333
17,18,Merged Tribe,13,Tommy,8-2-0,Jury Vote,Jury Vote,Jury Vote,Tommy,Tommy,,Tommy,Tommy,Dean,Tommy,Dean,Tommy,Tommy,Tommy,,,,,,,[],False,{},False,{},True,2,True,True,"['Noura', 'Dean', 'Tommy']",13,"""Mama, Look at Me Now""","December 18, 2019",Jury Vote,Jury Vote,Jury Vote,"['Tommy', '8-2-0']",Sole Survivor,6.52,1.2/6,Tommy,[],
